bike_id,count,duration
14529,675,584342
14530,950,750855
14531,705,840015
14532,11,7799
14533,872,810747
14534,596,820125
14535,1139,1040317
14536,769,757302
14537,929,1295034
14539,1039,887037
14540,1171,975229
14541,937,1674760
14544,595,584909
14545,1291,1122326
14547,971,853276
14548,899,1540200
14549,816,753796
14550,857,780082
14551,692,846787
14552,24,19117
14553,986,864801
14555,1070,900307
14556,1184,1013730
14558,1048,1052002
14559,1030,1088072
14561,1026,883302
14562,1260,1072996
14563,873,3429633
14565,428,366925
14568,896,1008353
14570,689,625083
14572,1097,952484
14573,1107,953977
14574,950,780932
14575,964,1572251
14576,969,813960
14577,863,834280
14578,962,1220448
14579,466,370107
14580,1097,856268
14581,989,811641
14582,701,1614093
14583,1244,1300544
14584,500,408334
14585,911,854972
14586,1105,1015080
14587,901,728772
14588,798,660863
14589,399,520900
14590,852,766802
14591,679,902020
14592,931,2007139
14593,537,438865
14594,1057,857345
14595,741,629913
14596,191,141020
14597,868,744377
14598,1155,1278797
14599,852,684934
14600,764,1721099
14601,707,598458
14602,486,485105
14603,1173,989954
14607,571,858052
14608,923,824547
14611,948,814033
14612,914,732277
14613,1019,927687
14615,893,824508
14617,843,720164
14618,909,885558
14620,449,375311
14622,896,995222
14625,828,766896
14626,803,785437
14627,673,647251
14628,396,401149
14629,925,703765
14630,976,2134816
14631,950,937450
14632,1142,1052668
14633,1036,919843
14634,1016,875084
14635,902,741248
14636,981,860686
14639,1034,1037961
14640,1026,1000720
14641,523,454153
14644,989,946896
14645,827,744457
14646,987,853443
14647,1025,964908
14648,1096,974155
14649,1068,1153471
14650,995,856440
14651,898,845268
14652,1180,1039679
14653,909,819926
14654,1020,946136
14655,893,782076
14656,1162,1053200
14657,843,694948
14658,795,647066
14660,934,794165
14661,1165,1568961
14663,1101,1123881
14664,656,670724
14665,864,759262
14666,1132,920640
14670,851,868494
14671,734,687800
14672,500,434717
14673,1107,1072998
14674,235,1511524
14675,901,798688
14676,970,864800
14677,839,787347
14683,712,699772
14684,931,837865
14685,252,404643
14686,836,755855
14687,875,715628
14688,292,209927
14689,1154,1300408
14691,968,1142379
14693,688,611604
14694,959,967549
14695,962,965670
14696,1044,1145331
14697,1008,875127
14698,1065,971253
14699,197,167911
14700,586,541746
14701,647,669256
14702,1083,1042451
14705,830,759172
14706,1119,1005557
14707,510,409977
14708,1149,1025984
14709,957,1015536
14710,789,679947
14714,1017,979674
14715,1160,1095033
14716,664,543360
14717,1002,959764
14718,848,748635
14719,939,973231
14720,827,1514050
14721,917,927672
14722,988,989219
14723,851,1896483
14725,992,880229
14726,1092,952144
14727,997,1259494
14728,989,986873
14729,1026,971198
14730,1083,958713
14731,913,771026
14732,953,1044858
14733,805,676857
14734,796,693608
14736,820,697235
14737,762,1435393
14738,973,1239877
14740,1134,1143311
14741,394,649991
14742,1074,906727
14743,882,774814
14759,888,1653906
14760,885,726758
14761,869,836634
14762,1029,905646
14763,1009,898777
14764,934,792564
14765,1043,888902
14766,848,897860
14767,604,564351
14768,992,1115350
14769,1022,830777
14771,1098,1034755
14772,1032,984511
14773,1016,1025461
14774,1079,931812
14775,838,725250
14776,885,734742
14777,212,272144
14778,1240,1138519
14780,1082,967773
14781,889,765074
14782,328,340907
14783,472,502060
14785,1138,1254652
14786,875,719079
14788,874,795672
14790,1082,953593
14792,1134,1079114
14793,831,780796
14795,877,723651
14797,968,1866160
14798,1050,942510
14799,836,658847
14802,453,432338
14804,1008,798322
14805,940,775243
14806,894,751651
14807,1086,944724
14808,870,961406
14809,929,821663
14811,967,900472
14814,968,826832
14815,924,849905
14816,944,895716
14817,1127,1675089
14819,1015,968959
14820,218,178552
14821,1183,1163498
14823,1007,884093
14824,1054,1240678
14826,969,893558
14827,1049,940422
14828,1077,954247
14829,710,611668
14831,880,818675
14832,1068,872949
14833,1048,872097
14835,930,916546
14838,983,796040
14839,1045,1040016
14841,796,708153
14842,876,761917
14843,999,867997
14849,840,715291
14851,1096,1004659
14852,1024,905697
14853,1152,1020310
14854,768,603836
14855,908,761775
14856,735,682772
14857,1027,1107458
14858,901,2227185
14860,1047,957285
14861,921,711370
14862,1229,1046113
14863,751,671793
14865,979,899523
14866,929,830281
14868,1162,1037073
14869,1096,1020313
14870,972,901571
14872,541,502031
14873,1047,1703012
14875,828,762760
14876,818,807509
14877,1070,1069347
14878,692,572651
14879,926,829772
14881,911,1808109
14882,838,2171917
14883,366,285472
14884,851,1067299
14886,1143,991964
14887,848,714050
14888,1117,1264658
14889,711,553001
14890,692,1117638
14891,1054,951021
14893,858,782487
14895,654,1384624
14898,224,255690
14899,609,486029
14900,1116,1141357
14901,209,539569
14903,1048,2189753
14904,989,837846
14905,651,529338
14906,949,825107
14907,984,820719
14908,773,670429
14909,885,748102
14910,836,3891860
14911,668,620652
14912,997,898834
14913,845,739054
14914,953,889000
14915,1036,1074407
14916,1191,1052116
14918,775,1050546
14919,606,586182
14920,1057,931017
14921,337,287378
14922,1043,1583643
14923,773,671628
14924,781,1044840
14926,1015,1029964
14927,868,782196
14928,924,822174
14929,1177,2034112
14930,761,654344
14931,158,1929612
14934,942,919510
14935,969,836043
14936,1082,959554
14937,656,1024014
14938,887,856669
14939,597,482017
14940,814,783136
14941,993,829318
14942,761,639901
14943,947,1217090
14944,944,912865
14945,1193,1229747
14946,1060,894275
14947,1054,1073632
14948,340,328681
14950,1022,878642
14951,97,84452
14955,120,118217
14956,896,743533
14957,1028,894537
14958,1013,962597
14959,980,802895
14961,433,399688
14962,796,788424
14963,1067,963694
14965,550,480456
14966,134,104092
14967,982,1251013
14970,1003,853709
14972,600,580359
14973,958,797390
14974,1049,1024588
14975,868,779006
14977,893,1025458
14978,1098,867763
14979,939,1504847
14982,910,876024
14983,881,740895
14985,604,495229
14986,1048,964509
14987,91,84413
14988,976,836932
14990,440,413315
14991,1126,979680
14992,1047,912938
14993,754,659764
14994,857,685325
14995,745,731816
14996,885,827657
14997,493,380814
15000,898,1706488
15001,937,878580
15003,435,511805
15004,1053,981281
15005,1017,906386
15007,1086,1121321
15008,1304,1104304
15009,1056,940676
15011,863,756405
15012,946,842711
15013,837,763366
15014,1017,878893
15015,877,824182
15016,1151,996685
15018,885,725179
15019,1102,1273767
15020,784,755340
15021,869,819280
15022,961,1955811
15023,829,710951
15024,525,461982
15025,1065,1202712
15027,1143,1045209
15028,894,791159
15029,987,2164444
15030,1224,1229686
15031,884,786733
15032,96,85119
15034,885,820798
15035,993,897666
15036,885,928555
15037,911,787100
15038,860,854424
15039,832,722941
15040,964,843194
15042,1101,949548
15043,981,963965
15044,873,832783
15045,739,702858
15047,1060,997110
15048,956,800926
15049,870,833805
15053,751,648225
15055,635,679517
15056,1091,998663
15057,574,564531
15059,1088,998672
15060,1117,1966833
15061,699,803467
15062,1020,1358921
15063,993,1016267
15064,1067,985845
15065,744,663030
15066,915,953114
15067,765,657674
15068,893,749851
15069,255,1180123
15070,669,590667
15071,1049,2029125
15074,1137,986981
15076,853,692324
15079,1022,944298
15080,802,706977
15081,1013,893871
15082,569,926161
15083,1039,942539
15084,1138,969648
15085,771,727636
15086,847,725557
15087,1065,1117236
15091,730,635074
15093,753,636431
15095,884,745003
15096,1183,991643
15097,860,1114157
15098,885,765945
15099,352,309204
15101,833,982170
15102,874,809068
15104,729,605430
15105,1206,1029487
15107,1149,948541
15108,611,1100813
15109,957,926763
15112,1107,2562978
15114,48,54411
15115,850,717630
15116,1004,933984
15117,1038,1014811
15119,958,863016
15122,1039,1008317
